               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029464,            0.019909,           0.0018678,             0.78068,             0.87454,             0.84396,             0.55448,            0.034946,             0.01133,          0.00078144,             0.00307,             0.00307,             0.00307
                  37,            0.027641,            0.020849,          0.00079181,             0.78271,             0.88769,             0.84563,             0.54612,            0.034556,            0.011495,          0.00075903,            0.002872,            0.002872,            0.002872
                  38,            0.026944,            0.017851,          0.00099813,             0.76361,             0.91248,             0.84921,             0.55102,            0.033913,            0.011482,          0.00075064,            0.002674,            0.002674,            0.002674
                  39,            0.028036,             0.01994,           0.0011041,             0.83536,             0.80875,             0.85185,             0.55209,             0.03388,            0.011496,          0.00075068,            0.002476,            0.002476,            0.002476
                  40,            0.025764,            0.017407,           0.0025954,             0.83956,             0.79559,             0.85428,             0.55436,               0.033,            0.011488,          0.00075801,            0.002278,            0.002278,            0.002278
                  41,            0.027311,            0.018904,          0.00082633,             0.84358,             0.79559,             0.85737,             0.56077,            0.031674,            0.011354,          0.00080674,             0.00208,             0.00208,             0.00208
                  42,            0.027437,            0.019408,          0.00095217,             0.84108,             0.79525,             0.85741,             0.54959,            0.032864,            0.011222,            0.000811,            0.001882,            0.001882,            0.001882
                  43,             0.02655,            0.018305,          0.00062565,             0.79511,             0.87454,             0.86384,             0.56413,            0.030664,            0.011154,          0.00075973,            0.001684,            0.001684,            0.001684
                  44,            0.024684,             0.01569,          0.00068855,             0.80376,             0.85547,             0.86194,             0.55273,            0.030847,             0.01129,          0.00074123,            0.001486,            0.001486,            0.001486
                  45,            0.027089,            0.017242,           0.0010404,             0.80773,             0.87046,             0.85712,             0.58363,            0.030447,            0.011263,          0.00073341,            0.001288,            0.001288,            0.001288
                  46,            0.025949,            0.018341,           0.0006772,             0.80779,             0.86768,             0.85759,             0.58832,            0.030664,            0.011246,          0.00071694,             0.00109,             0.00109,             0.00109
                  47,            0.025577,            0.018142,          0.00065756,              0.7984,             0.86138,             0.85776,             0.59077,             0.03068,            0.011201,          0.00068734,            0.000892,            0.000892,            0.000892
                  48,            0.025412,            0.018921,          0.00060475,             0.80802,             0.87242,             0.85457,             0.59127,            0.030511,            0.011233,          0.00065571,            0.000694,            0.000694,            0.000694
                  49,             0.02336,            0.017351,             0.00074,             0.80382,             0.87454,             0.84728,             0.57951,            0.031573,            0.011372,          0.00068827,            0.000496,            0.000496,            0.000496
